name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
LMFGA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
LMFGA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
LMFGA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
LMFGA4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
LMFGA5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
LMFGA6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
LAC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LAC2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LAC3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LAC4	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
LAC5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LAC6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LAC7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LAC8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LAC9	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LAC10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
LMFGB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	n/a
LMFGB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	n/a
LMFGB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGC1	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LMFGC2	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LMFGC3	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	yes	n/a
LMFGC4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGC5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGC6	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGC7	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGC8	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
LMFGIA1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	n/a
LMFGIA2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	n/a
LMFGIA3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	yes	yes
