name	type	units	low_cutoff	high_cutoff	description	sampling_frequency	status	status_description	soz	epz	rz
RAM1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
RAM2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
RAM3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
RAM4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
RAM5	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
RAM6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	yes
RAM7	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
RAM8	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
RAM9	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
RAM10	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
RAM11	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
RAM12	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
RAM13	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
RAM14	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
RAM15	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
RAM16	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	n/a
RHB1	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
RHB2	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
RHB3	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
RHB4	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	yes	n/a	yes
RHB5	SEEG	µV	0.0	256.0	StereoEEG	512.0	good	n/a	n/a	n/a	yes
RHB6	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
RHB7	SEEG	µV	0.0	256.0	StereoEEG	512.0	bad	White Matter	n/a	n/a	n/a
